Η Ισπανίδα	Испанка
Ο Ρώσος	Русский
Η Ρωσίδα	Русская
Ο Ελβετός	Швейцарец
Η Ελβετίδα	Швейцарка
Ο Κινέζος	Китаец
Η Κινέζα	Китаянка
Ο Ουκρανός	Украинец
Η Ουκρανή	Украинка
Ο Τούρκος	Турок
Η Τουρκάλα	Турчанка
Ελληνικά	Греческий язык
Ισπανικά	Испанский язык
Αγγλικά	Английский язык
Ρωσικά	Русский язык
Ουκρανικά	Украинский язык
Τουρκικά	Турецкий язык
Το τρόλεϊ	Троллейбус
Το τραμ	Трамвай
Το μετρό	Метро
Το αυτοκίνητο	Машина
Το λεωφορείο	Автобус
Το ταξί	Такси
Το ποδήλατο	Велосипед
Η μηχανή	Мотоцикл
Ο ηλεκτρικός	Электричка
Το ατύχημα	Авария
Η Δευτέρα	Понедельник
Η Τρίτη	Вторник
Η Τετάρτη	Среда
Η Πέμπτη	Четверг
Η Παρασκευή	Пятница
Το Σάββατο	Суббота
Η Κυριακή	Воскресенье
Το Σαββατοκύριακο	Выходные
Ο Ιανουάριος	Январь
Ο Φεβρουάριος	Февраль
Ο Μάρτιος	Март
Ο Απρίλιος	Апрель
Ο Μάιος	Май
Ο Ιούνιος	Июнь
Ο Ιούλιος	Июль
Ο Αύγουστος	Август
Ο Σεπτέμβριος	Сентябрь
Ο Οκτώβριος	Октябрь
Ο Νοέμβριος	Ноябрь
Ο Δεκέμβριος	Декабрь
Σεργκέι	Сергей
τεσσάρων χρονών	Четырёх лет
Κύπρο	Кипр
στην επαρχία Πάφου	В провинции Пафос
μου αρέσει	Мне нравится
τα κομπιούτερ	Компьютеры
Ποιος μιλάει με ποιον;	Кто с кем разговаривает?
Τι δουλειά κάνεις;	Кем ты работаешь?
ξέρω	Знаю
μάλιστα	Конечно
συγνώμη	Прости
τόσο	Так
βρίσκεται	Находится
κοντά στο χωριό	Рядом с деревней
έναν μικρό κήπο	Маленький сад
μου αρέσει να πίνω	Мне нравится пить
κοντά στην θάλασσα	Рядом с морем
γεια σας	Здравствуйте
γεια σου	Привет
χαίρω πολύ	Очень приятно
πώς σε λένε;	Как тебя зовут?
πώς σας λένε;	Как вас зовут?
με λένε...	Меня зовут...
είμαι από...	Я из...
από πού είσαι;	Откуда ты?
εγώ	Я
εσύ	Ты
αυτός	Он
αυτή	Она
αυτό	Оно
εμείς	Мы
εσείς	Вы
αυτοί	Они (м.р.)
αυτές	Они (ж.р.)
αυτά	Они (ср.р.)
δεν	Не (отрицание)
κύριε	Господин
κυρία	Госпожа
μηδέν	Ноль
ένα	Один
δύο	Два
τρία	Три
τέσσερα	Четыре
πέντε	Пять
έξι	Шесть
εφτά	Семь
οχτώ	Восемь
εννιά	Девять
δέκα	Десять
ο φίλος	Друг
η φίλη	Подруга
η τάξη	Класс
το μάθημα	Урок
εδώ	Здесь
εκεί	Там
τι κάνεις;	Как дела?
τι κάνετε;	Как ваши дела?
καλά	Хорошо
μια χαρά	Отлично
έτσι κι έτσι	Так себе
καλούτσικα	Неплохо
χάλια	Ужасно
χαίρετε	Здравствуйте (форм.)
αντίο	До свидания
τα λέμε	Увидимся
καλό βράδυ	Доброго вечера
πού μένεις;	Где ты живёшь?
πού ακριβώς;	Где именно?
το τηλέφωνο	Телефон
το κινητό	Мобильный телефон
ακούω	Слушать
μου	Мой
σου	Твой
του	Его
της	Её
μας	Наш
σας	Ваш
τους	Их
έντεκα	Одиннадцать
δώδεκα	Двенадцать
δεκατρία	Тринадцать
δεκατέσσερα	Четырнадцать
δεκαπέντε	Пятнадцать
δεκαέξι	Шестнадцать
δεκαεφτά	Семнадцать
δεκαοχτώ	Восемнадцать
δεκαεννιά	Девятнадцать
είκοσι	Двадцать
τριάντα	Тридцать
σαράντα	Сорок
πενήντα	Пятьдесят
εξήντα	Шестьдесят
εβδομήντα	Семьдесят
ογδόντα	Восемьдесят
ενενήντα	Девяносто
εκατό	Сто
το σχολείο	Школа
το φαρμακείο	Аптека
ο ήλιος	Солнце
ο ουρανός	Небо
το όνομα	Имя
το μουσείο	Музей
το εστιατόριο	Ресторан
το περίπτερο	Киоск
η ταβέρνα	Таверна
το νοσοκομείο	Больница
ο φούρνος	Пекарня
το μαγαζί	Магазин
το θέατρο	Театр
το ξενοδοχείο	Гостиница
η περιοχή	Район
η διεύθυνση	Адрес
το επώνυμο	Фамилия
η οδός	Улица (офиц.)
το πρόβλημα	Проблема
η οικογένεια	Семья
ανύπαντρος	Неженатый
ανύπαντρη	Незамужняя
ποιος;	Кто? (м.р.)
ποια;	Кто? (ж.р.)
η δουλειά	Работа
το γραφείο	Офис
το συνεργείο	Мастерская
η τράπεζα	Банк
το κομμωτήριο	Парикмахерская
το καφενείο	Кафе
ωραίος	Красивый
ο οδοντίατρος	Стоматолог
μαγειρεύω	Готовить (еду)
διαβάζω	Читать
γράφω	Писать
σπουδάζω	Учиться (в вузе)
ταξιδεύω	Путешествовать
λίγο	Немного
καθόλου	Совсем не
αρκετά καλά	Довольно хорошо
γαλλικά	Французский язык
γερμανικά	Немецкий язык
ιταλικά	Итальянский язык
αραβικά	Арабский язык
κινέζικα	Китайский язык
ιαπωνικά	Японский язык
αλβανικά	Албанский язык
πολωνικά	Польский язык
σουηδικά	Шведский язык
βουλγαρικά	Болгарский язык
το πάρκο	Парк
ο κινηματογράφος	Кинотеатр
ο σταθμός	Станция
η στάση	Остановка
η αγγελία	Объявление
φωνάζω	Кричать/Звать
διακόσια	Двести
τριακόσια	Триста
τετρακόσια	Четыреста
πεντακόσια	Пятьсот
εξακόσια	Шестьсот
εφτακόσια	Семьсот
οχτακόσια	Восемьсот
εννιακόσια	Девятьсот
χίλια	Тысяча
η μητρική γλώσσα	Родной язык
ο ποδοσφαιριστής	Футболист
ο πολιτικός	Политик
ρουμανικά	Румынский язык
σκέφτομαι	Думать
το τρένο	Поезд
το αεροπλάνο	Самолёт
το πλοίο	Корабль
με τα πόδια	Пешком
φτάνω	Прибывать
ξεκινάω	Отправляться
προτιμάω	Предпочитать
οδηγάω	Водить (машину)
θέλω	Хотеть
με συγχωρείτε	Извините (вежливо)
πόσο κάνει;	Сколько стоит?
κάθε πότε;	Как часто?
κάθε μέρα	Каждый день
τι ώρα είναι;	Который час?
και τέταρτο	Четверть (о времени)
και μισή	Половина (о времени)
παρά τέταρτο	Без четверти
το εισιτήριο	Билет
με επιστροφή	Туда и обратно
κοστίζει	Стоить (о цене)
το κέντρο	Центр
η γραμμή	Линия (метро)
το λεπτό	Минута
το ευρώ	Евро
το δρομολόγιο	Расписание
η αναχώρηση	Отправление
η άφιξη	Прибытие
ο πελάτης	Клиент
η πλατεία	Площадь
το πρωί	Утро
το μεσημέρι	Полдень
το απόγευμα	После обеда
το βράδυ	Вечер
η νύχτα	Ночь
από	Из/От
με	С (предлог)
σε	В/На
για	Для
μέχρι	До
κόκκινο	Красный
μπλε	Синий
πράσινο	Зελёный
κίτρινο	Жёлтый
άσπρο	Белый
μαύρο	Чёрный
πορτοκαλί	Оранжевый
γκρι	Серый
καφέ	Коричневый
ροζ	Розовый
το βουνό	Гора
το δέντρο	Дерево
ο βράχος	Скала
η πέτρα	Камень
το μονοπάτι	Тропинка
το σύννεφο	Облако
ο αέρας	Ветер
η βροχή	Дождь
η ζέστη	Жара
το κρύο	Холод
η σκιά	Тень
το λουλούδι	Цветок
το χώμα	Земля
η άμμος	Песок
το ποτάμι	Река
η λίμνη	Озеро
ο κόλπος	Залив
η παραλία	Пляж
το δάσος	Лес
η κορυφή	Вершина
ο γκρεμός	Обрыв
η γέφυρα	Мост
τρέχω	Я бегу
κολυμπάω	Я плаваю
ξεκουράζομαι	Я отдыхаю
κουράζομαι	Я устаю
φοβάμαι	Я боюсь
χάνομαι	Я теряюсь
γυρίζω	Я возвращаюсь
ακολουθώ	Я следую
κοιτάζω	Я смотрю
το φθινόπωρο	Осень
ο χειμώνας	Зима
η άνοιξη	Весна
το καλοκαίρι	Лето
πάντα	Всегда
σχεδόν πάντα	Почти всегда
συνήθως	Обычно
συχνά	Часто
πολλές φορές	Много раз
μερικές φορές	Иногда
καμιά φορά	Порой
κάπου κάπου	Время от времени
πότε πότε	Изредка
σπάνια	Редко
ποτέ	Никогда
το περιοδικό	Журнал
η εφημερίδα	Газета
το γραμματόσημο	Марка
το μολύβι	Карандаш
το στιλό	Ручка
τα χαρτομάντιλα	Бумажные платки
οι καραμέλες	Карамель
οι τσίχλες	Жевательная резинка
η σοκολάτα	Шоколад
τα πατατάκια	Чипсы
το παγωτό	Мороженое
το αναψυκτικό	Безалкогольный напиток
το γιαούρτι	Йогурт
ο χυμός	Сок
το κουλούρι	Бублик
τα κριτσίνια	Хлебные палочки
οι φρυγανιές	Сухарики
το σάντουιτς	Сэндвич
το κρουασάν	Круассан
η τυρόπιτα	Сырный пирог
η σπανακόπιτα	Пирог со шпинатом
τα μπισκότα	Печенье
τα γλυκά	Сладости
τα μήλα	Яблоки
τα αχλάδια	Груши
τα πορτοκάλια	Апельсины
οι μπανάνες	Бананы
τα μανταρίνια	Мандарины
τα κεράσια	Черешня
οι φράουλες	Клубника
τα σταφύλια	Виноград
τα βερίκοκα	Абрикосы
τα ροδάκινα	Персики
τα καρπούζια	Арбузы
τα πεπόνια	Дыни
οι ντομάτες	Помидоры
τα αγγούρια	Огурцы
τα κρεμμύδια	Лук
οι πιπεριές	Перцы (болгарские)
τα μαρούλια	Салат
τα λάχανα	Капуста
τα καρότα	Морковь
οι πατάτες	Картофель
οι μελιτζάνες	Баклажаны
τα κολοκυθάκια	Кабачки
η κολοκύθα	Тыква
το σκόρδο	Чеснок
ο άνηθος	Укроп
ο μαϊντανός	Петрушка
το κιλό	Килограмм
το γραμμάριο	Грамм
τα αυγά	Яйца
το βούτυρο	Сливочное масло
το αλεύρι	Мука
η ζάχαρη	Сахар
το αλάτι	Соль
το πιπέρι	Перец (чёрный)
τα μακαρόνια	Макароны
το ρύζι	Рис
οι φακές	Чечевица
τα φασόλια	Фасоль
το λάδι	Оливковое масло
το ξίδι	Уксус
το λουκάνικο	Колбаса
το κρέας	Мясо
το χοιρινό	Свинина
το βοδινό	Говядина
το μοσχαρίσιο	Телятина
ο κιμάς	Фарш
το κοτόπουλο	Курица
το ψάρι	Рыба
η τσιπούρα	Дорада
το λαβράκι	Сибас
το μπαρμπούνι	Барабулька
η σουπιά	Каракатица
το χταπόδι	Осьминог
το καλαμάρι	Кальмар
τα θαλασσινά	Морепродукты
ο αστακός	Омар
τα μύδια	Мидии
οι γαρίδες	Креветки
τα όστρακα	Моллюски
το απορρυπαντικό	Моющее средство
το χαρτί υγείας	Туалетная бумага
οι χαρτοπετσέτες	Бумажные салфетки
το σαμπουάν	Шампунь
το μαλακτικό	Кондиционер для волос
το σαπούνι	Мыло
το αφρόλουτρο	Гель для душа
η οδοντόκρεμα	Зубная паста
η οδοντόβουρτσα	Зубная щётка
καλός	Хороший
κακός	Плохой
μεγάλος	Большой
μικρός	Маленький
άσχημος	Некрасивый
φτηνός	Дешёвый
ακριβός	Дорогой
ψηλός	Высокий
κοντός	Низкий
χοντρός	Толстый
λεπτός	Худой
νέος	Молодой
καινούριος	Новый
παλιός	Старый
κρύος	Холодный
μοντέρνος	Современный
εκείνος	Тот
όλος	Весь
το γαλάζιο	Голубой
το μοβ	Фиолетовый
το μπεζ	Бежевый
το παντελόνι	Брюки
η μπλούζα	Блузка
το πουκάμισο	Рубашка
το σακάκι	Пиджак
η γραβάτα	Галстук
το κοστούμι	Костюм
το πουλόβερ	Свитер
το φανελάκι	Майка
τα εσώρουχα	Нижнее бельё
το φόρεμα	Платье
η φούστα	Юбка
τα παπούτσια	Обувь
οι μπότες	Сапоги
οι παντόφλες	Тапочки
τα πέδιλα	Сандалии
οι κάλτσες	Носки
τα γάντια	Перчатки
το καπέλο	Шляпа
ο σκούφος	Шапка
το σορτς	Шорты
το μπουφάν	Куртка
το παλτό	Пальто
το κασκόλ	Шарф
το καλσόν	Колготки
το μαγιό	Купальник
τα γυαλιά	Очки
η πετσέτα	Полотенце
η τσάντα	Сумка
η ομπρέλα	Зонт
τα κοσμήματα	Украшения
το κολιέ	Колье
το κραγιόν	Помада
το δαχτυλίδι	Кольцо
το περιδέραιο	Ожерелье
τα καλλυντικά	Косметика
η κρέμα	Крем
ο ελέφαντας	Слон
ο τίγρης	Тигр
η καμηλοπάρδαλη	Жираф
η καμήλα	Верблюд
ο γάτος	Кот
η γάτα	Кошка
ο σκύλος	Собака
τα πουλιά	Птицы
η χελώνα	Черепаха
το δελφίνι	Дельфин
το άλογο	Лошадь
η μαϊμού	Обезьяна
το κλουβί	Клетка
το πρόβατο	Овца
ο γάιδαρος	Осёл
το κουνέλι	Кролик
η αγελάδα	Корова
η πάπια	Утка
το γουρούνι	Свинья
ο κροκόδειλος	Крокодил
ο ζωολογικός κήπος	Зоопарк
κάνει κρύο	Холодно
κάνει ζέστη	Жарко
βρέχει	Идёт дождь
χιονίζει	Идёт снег
έχει καταιγίδα	Гроза
έχει ομίχλη	Туман
κάνει χαλάζι	Град
έχει ήλιο	Солнечно
έχει υγρασία	Влажно
κάνει καύσωνα	Сильная жара
η θερμοκρασία	Температура
