Greek	Russian	Unit
η αγγελία	Объявление	4
φωνάζω	Кричать/Звать	4
διακόσια	Двести	4
τριακόσια	Триста	4
τετρακόσια	Четыреста	4
πεντακόσια	Пятьсот	4
εξακόσια	Шестьсот	4
εφτακόσια	Семьсот	4
οχτακόσια	Восемьсот	4
εννιακόσια	Девятьсот	4
χίλια	Тысяча	4

# ΕΝΟΤΗΤΑ 5
η μητρική γλώσσα	Родной язык	5
ο ποδοσφαιριστής	Футболист	5
ο πολιτικός	Политик	5
ρουμανικά	Румынский язык	5
σκέφτομαι	Думать	5

# ΕΝΟΤΗΤΑ 6
το τρένο	Поезд	6
το αεροπλάνο	Самолёт	6
το πλοίο	Корабль	6
με τα πόδια	Пешком	6
φτάνω	Прибывать	6
ξεκινάω	Отправляться	6
προτιμάω	Предпочитать	6
οδηγάω	Водить (машину)	6
θέλω	Хотеть	6
με συγχωρείτε	Извините (вежливо)	6
πόσο κάνει;	Сколько стоит?	6
κάθε πότε;	Как часто?	6
κάθε μέρα	Каждый день	6
τι ώρα είναι;	Который час?	6
και τέταρτο	Четверть (о времени)	6
και μισή	Половина (о времени)	6
παρά τέταρτο	Без четверти	6
το εισιτήριο	Билет	6
με επιστροφή	Туда и обратно	6
κοστίζει	Стоить (о цене)	6
το κέντρο	Центр	6
η γραμμή	Линия (метро)	6
το λεπτό	Минута	6
το ευρώ	Евро	6
το δρομολόγιο	Расписание	6
η αναχώρηση	Отправление	6
η άφιξη	Прибытие	6
ο πελάτης	Клиент	6
η πλατεία	Площадь	6
το πρωί	Утро	6
το μεσημέρι	Полдень	6
το απόγευμα	После обеда	6
το βράδυ	Вечер	6
η νύχτα	Ночь	6
από	Из/От	6
με	С (предлог)	6
σε	В/На	6
για	Для	6
μέχρι	До	6
